groupId,groupTitle,groupDescription,groupFallback,itemName,price,description,imageFile,imageFit,subsection
signature-lamb-leg,시그니처 양다리,400도 숯불로 완성한 왕징의 대표 양다리구이,/images/wangjing/menu/lamb-leg.jpg,400도 숯불로 완성한 겉바속촉 양다리구이 (대),"90,000원",통양다리를 천천히 구워 즐기는 왕징 대표 메뉴,lamb-leg.jpg,,
,,,,400도 숯불로 완성한 겉바속촉 양다리구이 (중),"80,000원","왕징양다리양꼬치의 대표 통양다리구이로, 400도 숯불에서 정성껏 구워 겉은 바삭하고 속은 촉촉하게 완성합니다. 풍부한 육즙과 진한 불향을 즐길 수 있어 판교·모란 가족외식, 회식, 단체모임 예약 메뉴로 추천합니다.",lamb-leg.jpg,,
lamb-skewers,양꼬치 &세트메뉴,불향과 육즙을 즐기는 왕징의 양꼬치와 세트 메뉴,/images/wangjing/menu/lamb-leg.jpg,고급양갈비,"30,000원","고급양갈비는 부드러운 육질과 진한 육향을 즐길 수 있는 숯불 양고기 메뉴입니다. 노릇하게 구워지는 고소한 지방과 촉촉한 육즙이 어우러져 판교역 데이트나 모란역 회식 메뉴로 잘 어울립니다.",premium-lamb-chops.jpg,,
,,,,생양꼬치,"17,000원","생양꼬치는 양고기 본연의 담백함과 고소한 육즙을 살린 왕징양다리양꼬치의 기본 꼬치 메뉴입니다. 숯불에 노릇하게 구운 뒤 쯔란을 곁들이면 은은한 불향과 깔끔한 풍미를 즐길 수 있습니다.",fresh-lamb-skewers.jpg,,
,,,,양념양꼬치,"18,000원","양념양꼬치는 왕징 특제 양념으로 감칠맛을 더한 숯불 꼬치입니다. 달콤하고 짭조름한 양념이 부드러운 양고기에 배어 있어 양고기를 처음 접하는 고객이나 술안주 메뉴를 찾는 분에게 추천합니다.",marinated-lamb-skewers.jpg,,
,,,,양갈비살꼬치,"18,000원","양갈비살꼬치는 쫄깃한 식감과 고소한 지방의 풍미가 특징인 숯불 꼬치입니다. 씹을수록 진한 육즙과 불향이 살아나 풍미가 강한 양고기를 선호하는 고객에게 잘 맞습니다.",lamb-rib-skewers.jpg,,
,,,,새우꼬치,"18,000원","새우꼬치는 탱글한 새우를 숯불에 노릇하게 구워 담백한 단맛과 은은한 불향을 살린 메뉴입니다. 양고기 중심의 식사에 해산물의 산뜻한 풍미를 더하고 싶을 때 선택하기 좋습니다.",shrimp-skewers.png,,
chinese-dishes,중국요리·탕,함께 나누기 좋은 정통 중국요리,/images/wangjing/menu/guobaorou.jpg,꿔바로우,"20,000원",바삭한 튀김옷과 새콤달콤한 소스의 조화,guobaorou.jpg,,
,,,,가지튀김,"18,000원",겉은 바삭하고 속은 촉촉한 가지 요리,fried-eggplant.jpg,,
,,,,토마토계란볶음,"16,000원",부드러운 계란과 산뜻한 토마토 볶음,tomato-egg.jpg,,
,,,,마파두부,"15,000원",매콤하고 구수한 소스에 볶은 두부,mapo-tofu.jpg,,
,,,,향라대하,"22,000원",향신료의 풍미를 입힌 매콤한 새우 요리,spicy-prawn.jpg,,
,,,,어향육사,"19,000원",채소와 돼지고기를 어향 소스로 볶은 요리,yu-xiang-pork.jpg,,
